exp1_Now,exp1_Later,exp2_Now,exp2_Later,exp3_Now_standard,exp3_Later_standard,exp3_Now_elevated,exp3_Later_elevated,exp4_Now,exp4_Later
0.591,0.615,,,,,,,,
0.737,0.524,,,,,,,,
0.381,0.864,,,,,,,,
0.333,0.682,,,,,,,,
0.364,0.308,,,,,,,,
0.455,0.545,,,,,,,,
0.333,0.85,,,,,,,,
,0.591,,,,,,,,
,0.571,,,,,,,,
,0.368,,,,,,,,
,0.588,,,,,,,,
,0.5,,,,,,,,
,0.529,,,,,,,,
,0.524,,,,,,,,
,0.824,,,,,,,,
